Unnamed: 0,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
20,0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,0.584,0.836,0,-4.925,1,0.079,0.0558,0.484,104.973,202204,4
21,Ready to love,SEVENTEEN,0.668,0.705,9,-5.731,0,0.0356,0.0274,0.549,129.984,186760,4
22,Dont Call Me,SHINee,0.6900000000000001,0.783,2,-2.076,1,0.0641,0.0127,0.306,82.026,220173,4
23,SCIENTIST,TWICE,0.786,0.858,11,-3.74,1,0.0675,0.0487,0.649,112.999,194600,4
24,Drunk-Dazed,ENHYPEN,0.599,0.869,5,-5.174,0,0.0618,0.000707,0.453,132.889,193260,4
25,LOCO,ITZY,0.759,0.886,1,-3.067,1,0.187,0.0103,0.489,102.065,191462,4
26,LALISA,LISA,0.804,0.652,8,-6.282,1,0.0898,0.0267,0.854,150.076,200690,4
27,Dont fight the feeling,EXO,0.707,0.838,9,-2.983,0,0.117,0.0585,0.8320000000000001,128.007,176547,4
28,Gone,ROSÉ,0.647,0.377,6,-6.003,1,0.0375,0.594,0.653,79.936,207164,4
29,Rollin,Brave Girls,0.6910000000000001,0.875,1,-3.887,1,0.101,0.0356,0.489,124.954,197711,4
30,O.O.O (Over&Over&Over),Girls Planet 999,0.643,0.963,7,-3.059,1,0.0965,0.00509,0.63,127.933,247360,4
31,LO$ER=LO♡ER,TOMORROW X TOGETHER,0.644,0.867,11,-4.18,0,0.0383,0.001,0.687,124.997,199919,4
32,Thunderous,Stray Kids,0.601,0.786,1,-3.706,1,0.234,0.213,0.79,172.156,183267,4
33,Anti-Romantic,TOMORROW X TOGETHER,0.641,0.489,0,-8.668,0,0.11,0.0509,0.206,142.977,215188,4
34,Im Not Cool,HyunA,0.883,0.845,11,-2.069,1,0.0585,0.0161,0.656,116.004,174173,4
35,Life Is Still Going On,NCT DREAM,0.681,0.749,0,-3.436,0,0.0701,0.158,0.676,150.039,218587,4
36,Rock with you,SEVENTEEN,0.621,0.8160000000000001,11,-5.242,1,0.104,0.0966,0.6940000000000001,163.966,180360,4
37,strawberry moon,IU,0.475,0.712,6,-3.306,1,0.0431,0.138,0.443,169.796,205333,4
38,Fireworks (Im The One),ATEEZ,0.724,0.904,0,-3.815,1,0.0872,0.0419,0.728,130.036,209575,4
39,Bambi,BAEKHYUN,0.438,0.632,7,-4.447,0,0.0417,0.434,0.386,61.45,213053,4
40,Advice,TAEMIN,0.659,0.8210000000000001,9,-2.215,0,0.0468,0.406,0.353,161.983,191640,4
41,U+Me=LOVE,7 LOVE Minutes,0.772,0.852,2,-4.041,0,0.0618,0.0474,0.359,119.957,190400,4
42,Sticker,NCT 127,0.527,0.769,2,-0.419,1,0.28,0.311,0.719,156.032,227773,4
43,Snake,Medusa,0.766,0.854,2,-4.129,0,0.0802,0.0567,0.764,109.982,209760,4
44,Dun Dun Dance,OH MY GIRL,0.647,0.957,1,-0.384,0,0.0819,0.169,0.764,114.968,220560,4
45,TAIL,SUNMI,0.515,0.858,9,-3.136,1,0.19,0.0435,0.428,125.07,190960,4
46,Favorite (Vampire),NCT 127,0.561,0.758,5,-3.87,0,0.0478,0.0008309999999999,0.178,149.944,215587,4
47,NAKKA (with IU),"AKMU, IU",0.8160000000000001,0.636,10,-6.95,0,0.101,0.0732,0.499,100.923,212807,4
48,PING PONG,HyunA&DAWN,0.855,0.87,10,-2.059,0,0.0826,0.0122,0.863,103.028,158253,4
49,WOLFGANG,Stray Kids,0.524,0.848,2,-3.48,0,0.122,0.0535,0.135,161.672,190865,4
